country,state,name,lat,lng,timezone,altitude
AR,,Curuzú Cuatiá,-29.79145,-58.0499,America/Argentina/Cordoba,62
AR,,Corrientes,-27.46784,-58.8344,America/Argentina/Cordoba,63
AR,,Concordia,-31.39195,-58.01706,America/Argentina/Cordoba,36
AR,,Concepción del Uruguay,-32.48463,-58.23217,America/Argentina/Cordoba,21
AR,,Colegiales,-34.57365,-58.44924,America/Argentina/Buenos_Aires,27
AR,,Chajarí,-30.75482,-57.98196,America/Argentina/Cordoba,35
AR,,Castelar,-34.65142,-58.64074,America/Argentina/Buenos_Aires,25
AR,,Campana,-34.16327,-58.95919,America/Argentina/Buenos_Aires,19
AR,,Buenos Aires,-34.61315,-58.37723,America/Argentina/Buenos_Aires,31
AR,,Boedo,-34.63333,-58.41667,America/Argentina/Buenos_Aires,19
AR,,Berazategui,-34.76531,-58.21278,America/Argentina/Buenos_Aires,20
AR,,Bella Vista,-34.5651,-58.69034,America/Argentina/Buenos_Aires,23
AR,,Belgrano,-34.5627,-58.45829,America/Argentina/Buenos_Aires,18
AR,,Barranqueras,-27.48132,-58.93925,America/Argentina/Cordoba,52
AR,,Barracas,-34.64966,-58.38341,America/Argentina/Buenos_Aires,10
AR,,Balcarce,-37.84638,-58.25549,America/Argentina/Buenos_Aires,126
AR,,Azul,-36.77803,-59.85848,America/Argentina/Buenos_Aires,137
AR,,Avellaneda,-29.11761,-59.65834,America/Argentina/Cordoba,52
AR,,Aristóbulo del Valle,-27.09571,-54.89344,America/Argentina/Cordoba,491
AR,,Zapala,-38.90056,-70.06674,America/Argentina/Salta,1019
AR,,Yerba Buena,-26.81298,-65.29543,America/Argentina/Tucuman,472
AR,,Villa Regina,-39.09631,-67.08374,America/Argentina/Salta,197
AR,,Villa Paula de Sarmiento,-31.4933,-68.53838,America/Argentina/San_Juan,646
AR,,Villa Nueva,-32.43289,-63.24811,America/Argentina/Cordoba,204
AR,,Villa María,-32.40751,-63.24016,America/Argentina/Cordoba,202
AR,,Villa Dolores,-31.94504,-65.19025,America/Argentina/Cordoba,522
AR,,Villa Constitución,-33.22778,-60.3297,America/Argentina/Cordoba,32
AR,,Villa Carlos Paz,-31.4183,-64.49008,America/Argentina/Cordoba,702
AR,,Villa Ángela,-27.57679,-60.71114,America/Argentina/Cordoba,74
AR,,Villa Allende,-31.29368,-64.2977,America/Argentina/Cordoba,483
AR,,Viedma,-40.81345,-62.99668,America/Argentina/Salta,8
AR,,Victoria,-32.61841,-60.15478,America/Argentina/Cordoba,52
AR,,Vera,-29.4593,-60.21261,America/Argentina/Cordoba,64
AR,,Venado Tuerto,-33.74556,-61.96885,America/Argentina/Cordoba,117
AR,,Veinticinco de Mayo,-35.43247,-60.17156,America/Argentina/Buenos_Aires,59
AR,,Ushuaia,-54.81084,-68.31591,America/Argentina/Ushuaia,6
AR,,Unquillo,-31.23717,-64.31176,America/Argentina/Cordoba,576
AR,,Tres Isletas,-26.34067,-60.43207,America/Argentina/Cordoba,102
AR,,Tres Arroyos,-38.37694,-60.27563,America/Argentina/Buenos_Aires,100
AR,,Trelew,-43.24895,-65.30505,America/Argentina/Catamarca,14
AR,,Termas de Río Hondo,-27.49362,-64.85972,America/Argentina/Cordoba,260
AR,,Tartagal,-22.51682,-63.8056,America/Argentina/Salta,467
AR,,Tafí Viejo,-26.7333,-65.26146,America/Argentina/Tucuman,617
AR,,Sunchales,-30.94404,-61.56148,America/Argentina/Cordoba,98
AR,,Santo Tomé,-31.66274,-60.7653,America/Argentina/Cordoba,19
AR,,Santiago del Estero,-27.79511,-64.26149,America/Argentina/Cordoba,188
AR,,Santa Rosa,-36.61667,-64.28333,America/Argentina/Salta,179
AR,,Santa Lucía,-31.54055,-68.49794,America/Argentina/San_Juan,628
AR,,Santa Fe,-31.64881,-60.70868,America/Argentina/Cordoba,21
AR,,San Salvador de Jujuy,-24.19457,-65.29712,America/Argentina/Jujuy,1260
AR,,San Ramón de la Nueva Orán,-23.13705,-64.32426,America/Argentina/Salta,358
AR,,San Rafael,-34.61531,-68.33238,America/Argentina/Mendoza,690
AR,,San Pedro de Jujuy,-24.23127,-64.86614,America/Argentina/Jujuy,587
AR,,San Nicolás de los Arroyos,-33.33425,-60.2108,America/Argentina/Buenos_Aires,28
AR,,San Miguel de Tucumán,-26.82414,-65.2226,America/Argentina/Tucuman,452
AR,,San Martín de los Andes,-40.15789,-71.35337,America/Argentina/Salta,651
AR,,San Martín,-33.08338,-68.47312,America/Argentina/Mendoza,656
AR,,San Luis,-33.29501,-66.33563,America/Argentina/San_Luis,729
AR,,San Justo,-30.78913,-60.59189,America/Argentina/Cordoba,59
AR,,San Juan,-31.5375,-68.53639,America/Argentina/San_Juan,649
AR,,San José de Jáchal,-30.24162,-68.74662,America/Argentina/San_Juan,1176
AR,,San Jorge,-31.89618,-61.85984,America/Argentina/Cordoba,109
AR,,San Francisco,-31.42497,-62.08404,America/Argentina/Cordoba,120
AR,,Catamarca,-28.46957,-65.78524,America/Argentina/Catamarca,545
AR,,San Antonio Oeste,-40.73193,-64.94769,America/Argentina/Salta,12
AR,,Salta,-24.7859,-65.41166,America/Argentina/Salta,1183
AR,,Rufino,-34.26827,-62.71262,America/Argentina/Cordoba,118
AR,,Rosario,-32.94682,-60.63932,America/Argentina/Cordoba,38
AR,,Río Tercero,-32.17675,-64.11295,America/Argentina/Cordoba,372
